Potential Misspelling,Original Text
80s,"The final scene in an 80s romcom, probably the two main characters finally getting together. Set in New York of course."
romcom,"The final scene in an 80s romcom, probably the two main characters finally getting together. Set in New York of course."
platformer,"A platformer game, similar to super mario. Probably older and very colourful."
colourful,"A platformer game, similar to super mario. Probably older and very colourful."
platformer,"A boss battle in an old platformer game, like castlevania, quite old."
castlevania,"A boss battle in an old platformer game, like castlevania, quite old."
2077,"A game like Cyberpunk 2077, the kind of music that would play right before a shoot out/fight."
lordi,"Thought of a gig, maybe a performance by a band like tenacious d or Lordi"
80s,"The opening title of an 80s movie, probably the view of Philly in the sunrise, spanning across the city"
colours,"Dad dancing, bright colours, saxophones, laughing, fun."
1920s30,"Bar, 1920's/30's, tuxedos"
colours,"pixies, fairies, gentle, pastel colours, sparkle, enhantment, fantasy"
enhantment,"pixies, fairies, gentle, pastel colours, sparkle, enhantment, fantasy"
80,"sitcom theme song, 80's inspired, family, comedy"
barlounge,"in a bar/lounge, champagne, gold, quiet, relaxing"
sweed,while playing sweed video games with my friends
dj,a dj wants to keep the crowd moving
abit,"It felt like my blood was rising, abit overwhelming but also like i needed to just let lose, crash out and enjoy myself."
suspenceful,"Gives me like spy movie vibes, usually occurring during a chase or suspenceful scene."
80s90s,"Sounds like to me, the beginning of a classic 80s/90s house music, proper great nostagic feeling that comes with it, makes you want to dance."
nostagic,"Sounds like to me, the beginning of a classic 80s/90s house music, proper great nostagic feeling that comes with it, makes you want to dance."
haha,"Very intense feeling, loud and makes you feel all over the place, some people LOVE it and i am not one of them haha. Too much for me."
spirtrual,"Is gives off nail salon vibes, at a spa and somewhere you want to relax. Makes you feel at peace and at one with yourself, earth, very spirtrual. "
abit,It was abit uncomfortable as sounded like a horror movie at first but the talent from the band is powerful and you can hear it through there music/beats.
musicbeats,It was abit uncomfortable as sounded like a horror movie at first but the talent from the band is powerful and you can hear it through there music/beats.
feeel,"Makes you feeel like your in new york, near christmas, met someone who could be your soul mate and now you're just thriving, enjoying life and living like a main charater."
charater,"Makes you feeel like your in new york, near christmas, met someone who could be your soul mate and now you're just thriving, enjoying life and living like a main charater."
360,a solo jazz performance on a 360 stage. 
1,Formula 1 race. The cars are lined up to start the race then as the music gets faster the cars start racing 
whoosing,"I imagined people dancing at techno raves, having a good time and jumping around. I also imagined whoosing fireworks and arcade games being played."
futiristic,"I imagined a film about space, filled with futiristic and slow moving scenes."
tattooedpierced,"I imagined people mosh pitting at a heavy metal concert. Full of scary looking, heavily tattooed/pierced punk rockers."
